epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3487.54,1.50667,1.85234,1.75069,0.60097,0.49781,0.54107,0.32555,1.4252,1.58809,1.56848,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,3597.32,1.5147,1.85017,1.75424,0.58249,0.51239,0.55687,0.32614,1.41149,1.52977,1.55044,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,3708.16,1.50356,1.82888,1.73725,0.5875,0.50262,0.54912,0.32846,1.43036,1.55286,1.57613,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,3818.57,1.50784,1.83409,1.74383,0.63028,0.52164,0.56405,0.33624,1.43093,1.49304,1.58761,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,3928.32,1.48024,1.82594,1.72905,0.64909,0.50695,0.56441,0.33244,1.418,1.54873,1.57056,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,4039.11,1.4827,1.80951,1.7319,0.64943,0.50593,0.56417,0.33536,1.41769,1.53085,1.55846,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,4149.47,1.46757,1.78633,1.71491,0.63251,0.50311,0.55313,0.33405,1.39977,1.52188,1.5529,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,4259.29,1.47741,1.78662,1.72743,0.62878,0.50421,0.56853,0.33779,1.41585,1.49941,1.55551,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,4370.53,1.47618,1.7952,1.72898,0.58492,0.52515,0.56549,0.33432,1.41818,1.49427,1.56996,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,4480.05,1.46076,1.77837,1.71737,0.62051,0.52795,0.57597,0.35329,1.38093,1.4645,1.53306,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,4590.43,1.4663,1.78758,1.71689,0.66002,0.50774,0.57425,0.35148,1.39363,1.46925,1.52863,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,4700.87,1.45974,1.77385,1.70981,0.62347,0.5309,0.58618,0.35613,1.38096,1.44643,1.5164,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,4810.39,1.45731,1.7676,1.7022,0.60912,0.50722,0.57128,0.3447,1.41106,1.46479,1.53763,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,4920.9,1.46112,1.76342,1.70481,0.63756,0.52712,0.57089,0.35117,1.39008,1.46793,1.52939,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
